Timestamp                       Thread     Type        Activity             PID    TTL  
2026-06-11 14:40:46.392899-0500 0x1f353    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:1008][0x10000210e] CompleteInReport:0xe00002ed
2026-06-11 14:40:46.392907-0500 0x1f353    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:795][0x10000210e] Schedule retry reason:0xe00002ed count:9 deadline:50ms
2026-06-11 14:40:46.446842-0500 0x26d45    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:1041][0x10000210e] TimerOccurred retry:9
2026-06-11 14:40:46.493552-0500 0x26d45    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:755][0x10000210e] initInputReport:0xe00002d8
2026-06-11 14:40:46.493867-0500 0x26d45    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: initInputReport -> 0xE00002D8
2026-06-11 14:40:46.493875-0500 0x26d45    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:795][0x10000210e] Schedule retry reason:0xe00002d8 count:8 deadline:50ms
2026-06-11 14:40:46.501516-0500 0x1f353    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: Stop (saw 0 input reports this session)
2026-06-11 14:40:46.502004-0500 0x1f353    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:466][0x10000210e] Close interface: 0x100002109 0x0
2026-06-11 14:40:46.502266-0500 0x26d45    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) <private>
2026-06-11 14:40:50.802180-0500 0x26eff    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) <private>
